Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
317.39106,64.94243228,25.56827837,32.04655114,1.440000057,245.1999969,3.790092468,2.5
318.3908345,64.9424302,25.56825014,31.81669487,1.429999948,249.3000031,3.790092468,2.5
319.3907542,64.94242605,25.56822291,31.60075252,1.450000048,244.3999939,3.790092468,2.5
320.3899824,64.94242182,25.56819757,31.64420924,1.460000038,244.3999939,3.790092468,2.5
321.3864542,64.94241791,25.56817506,31.5250682,1.419999957,243.0,3.790092468,2.5
322.3904146,64.94241342,25.56815006,31.47239425,1.399999976,243.5,3.790092468,2.5
323.3905211,64.94240861,25.56812294,31.25944199,1.389999986,243.6999969,3.790092468,2.5
324.3900871,64.94240201,25.56809474,31.00541155,1.480000019,239.3000031,3.790092468,2.5
325.3904312,64.94239687,25.56806657,30.80674136,1.419999957,246.0,3.790092468,2.5
326.3900275,64.9423929,25.56803949,30.69492514,1.309999943,252.1000061,3.790092468,2.5
327.3907881,64.94238843,25.56801716,30.46592026,1.360000014,243.6000061,3.790092468,2.5
328.3881095,64.94238141,25.56799287,30.31290204,1.419999957,237.5,3.790092468,2.5
329.3913665,64.94237446,25.56796669,30.32266492,1.470000029,238.1999969,3.790092468,2.5
330.3898267,64.94236874,25.56793768,30.24301286,1.409999967,244.6000061,3.790092468,2.5
331.3915769,64.94236201,25.56790995,30.0429373,1.450000048,242.5,3.790092468,2.5
332.3868164,64.94235729,25.56788467,29.65518017,1.370000005,249.8999939,3.790092468,2.5
333.3913813,64.94235229,25.56785917,29.77431979,1.370000005,244.6000061,3.790092468,2.5
334.3921933,64.9423471,25.5678331,29.73006819,1.330000043,249.8000031,3.790092468,2.5
335.3916091,64.94234219,25.56780478,29.77151055,1.389999986,248.3000031,3.790092468,2.5
336.3917637,64.94233786,25.56777536,29.66634716,1.399999976,251.6000061,3.790092468,2.5
337.3916958,64.94233536,25.56774623,29.65017471,1.399999976,256.0,3.790092468,2.5
338.3867692,64.94233252,25.56772022,29.81411623,1.370000005,259.3999939,3.790092468,2.5
339.3915434,64.94232913,25.56769323,30.01614332,1.320000052,252.6000061,3.790092468,2.5
340.3906393,64.94232607,25.567665,29.97354199,1.389999986,256.2000122,3.790092468,2.5
341.3927436,64.94232233,25.56763696,30.07473882,1.360000014,258.2000122,3.790092468,2.5
342.3904052,64.94232075,25.56760927,30.10373304,1.389999986,260.5,3.790092468,2.5
343.3903566,64.94231829,25.56758374,30.49210112,1.320000052,253.0,3.790092468,2.5
344.3864332,64.94231582,25.56755381,30.70358994,1.360000014,255.3999939,3.790092468,2.5
345.3907869,64.94231149,25.56752531,30.73038443,1.340000033,253.3999939,3.790092468,2.5
